,state,sat_part_18,sat_erw_18,sat_math_18,sat_total_18,act_part_18,act_eng_18,act_math_18,act_reading_18,act_sci_18,act_composite_18
0,Alabama,6,595,571,1166,100,18.9,18.3,19.6,19.0,19.1
1,Alaska,43,562,544,1106,33,19.8,20.6,21.6,20.7,20.8
2,Arizona,29,577,572,1149,66,18.2,19.4,19.5,19.2,19.2
3,Arkansas,5,592,576,1169,100,19.1,18.9,19.7,19.4,19.4
4,California,60,540,536,1076,27,22.5,22.5,23.0,22.1,22.7
5,Colorado,100,519,506,1025,30,23.9,23.2,24.4,23.5,23.9
6,Connecticut,100,535,519,1053,26,26.0,24.8,26.1,24.9,25.6
7,Delaware,100,505,492,998,17,23.7,23.1,24.5,23.4,23.2
8,District of Columbia,92,497,480,977,32,23.7,22.7,24.4,23.0,23.6
9,Florida,56,550,549,1099,66,19.2,19.3,21.1,19.5,19.9
10,Georgia,70,542,522,1064,53,20.9,20.7,21.2,21.4,21.4
11,Hawaii,56,480,530,1010,89,18.2,19.0,19.1,19.0,18.9
12,Idaho,100,508,493,1001,36,21.9,21.6,23.2,22.1,22.3
13,Illinois,99,513,506,1019,43,24.1,23.4,24.2,23.4,23.9
14,Indiana,63,542,532,1074,32,21.9,22.3,23.1,22.2,22.5
15,Iowa,3,634,631,1265,68,21.0,21.2,22.5,22.0,21.8
16,Kansas,4,633,631,1265,71,21.0,21.1,22.3,21.5,21.6
17,Kentucky,4,630,618,1248,100,19.9,19.7,20.8,20.1,20.2
18,Louisiana,4,615,595,1210,100,19.0,18.5,19.6,19.1,19.2
19,Maine,99,512,501,1013,7,23.8,23.6,24.7,23.4,24.0
20,Maryland,76,545,535,1080,31,22.1,22.0,23.1,22.2,22.5
21,Massachusetts,80,562,563,1125,25,25.5,25.2,25.9,24.7,25.5
22,Michigan,100,511,499,1011,22,24.5,23.9,24.7,23.9,24.4
23,Minnesota,4,643,655,1298,99,20.2,21.4,21.7,21.4,21.3
24,Mississippi,3,630,606,1236,100,18.2,18.1,18.9,18.6,18.6
25,Missouri,4,633,629,1262,100,19.5,19.7,20.5,20.0,20.0
26,Montana,10,606,592,1198,100,18.7,19.9,20.7,20.0,20.0
27,Nebraska,3,629,623,1252,100,19.4,19.8,20.4,20.1,20.1
28,Nevada,23,574,566,1140,100,16.6,17.8,18.0,17.9,17.7
29,New Hampshire,96,535,528,1063,16,25.1,24.7,25.6,24.4,25.1
30,New Jersey,82,547,547,1094,31,23.8,23.6,24.0,23.0,23.7
31,New Mexico,16,552,540,1093,67,18.3,19.1,20.1,19.7,19.4
32,New York,79,534,534,1068,27,24.2,24.2,24.9,24.2,24.5
33,North Carolina,52,554,543,1098,100,18.0,19.3,19.5,19.2,19.1
34,North Dakota,2,640,643,1283,98,19.1,20.3,20.7,20.5,20.3
35,Oklahoma,8,541,521,1062,100,18.4,18.8,20.1,19.4,19.3
36,Ohio,18,552,547,1099,100,19.3,20.3,20.8,20.4,20.3
37,Oregon,48,564,553,1117,42,20.6,20.9,21.9,21.1,21.3
38,Pennsylvania,70,547,539,1086,20,23.3,23.2,24.0,23.1,23.5
39,Rhode Island,97,513,505,1018,15,24.4,23.6,25.0,23.5,24.2
40,South Carolina,55,547,523,1070,100,17.3,18.2,18.6,18.5,18.3
41,South Dakota,3,622,618,1240,77,20.8,21.6,22.4,22.2,21.9
42,Tennessee,6,624,607,1231,100,19.4,19.1,19.9,19.6,19.6
43,Texas,66,520,512,1032,41,19.6,20.6,21.1,20.8,20.6
44,Utah,4,480,530,1010,100,19.7,19.9,20.9,20.5,20.4
45,Vermont,64,565,554,1120,24,23.9,23.4,24.9,23.8,24.1
46,Virginia,68,567,550,1117,24,23.8,23.3,24.7,23.5,23.9
47,Washington,69,543,538,1081,24,21.4,22.2,22.7,22.0,22.2
48,West Virginia,28,513,486,999,65,19.8,19.4,21.3,20.4,20.3
49,Wisconsin,3,641,653,1294,100,19.8,20.3,20.6,20.8,20.5
50,Wyoming,3,633,625,1257,100,19.0,19.7,20.6,20.3,20.0
