Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Lot Config,Neighborhood,House Style,Overall Qual,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,Age Sold,TotBath Bsmt,TotBath AbvGr
109,60,RL,69.05520046484602,13517,IR1,CulDSac,Sawyer,2Story,6,2005,Gable,HdBoard,Plywood,BrkFace,289.0,Gd,CBlock,TA,No,GLQ,533.0,Ex,725,754,1479,3,1,Gd,6,0,0,Attchd,1976.0,RFn,2.0,475.0,0,44,130500,34,0.0,3
544,60,RL,43.0,11492,IR1,CulDSac,SawyerW,2Story,7,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,Gd,PConc,Gd,No,GLQ,637.0,Ex,913,1209,2122,4,1,Gd,8,1,TA,Attchd,1997.0,RFn,2.0,559.0,0,74,220000,13,1.0,3
153,20,RL,68.0,7922,Reg,Inside,NAmes,1Story,5,2007,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,GLQ,731.0,TA,1057,0,1057,3,1,Gd,5,0,0,Detchd,1953.0,Unf,1.0,246.0,0,52,109000,57,1.0,1
318,60,RL,73.0,9802,Reg,Inside,Timber,2Story,5,2007,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0.0,Gd,744,700,1444,3,1,TA,7,0,0,BuiltIn,2007.0,Fin,2.0,400.0,100,0,174000,4,0.0,3
255,50,RL,82.0,14235,IR1,Inside,SawyerW,1.5Fin,6,1993,Gable,Wd Sdng,Plywood,None,0.0,TA,PConc,Fa,No,Unf,0.0,TA,831,614,1445,3,1,TA,6,0,0,Detchd,1957.0,Unf,2.0,484.0,0,59,138500,110,0.0,2
138,20,RL,137.0,16492,IR1,Corner,NAmes,1Story,6,2002,Gable,BrkFace,Plywood,None,0.0,Gd,CBlock,TA,No,ALQ,247.0,Ex,1888,0,1888,2,1,Gd,6,1,Gd,Attchd,1966.0,Fin,2.0,578.0,0,0,190000,44,0.0,3
2827,180,RM,35.0,3675,Reg,Inside,Edwards,SFoyer,6,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,TA,PConc,Gd,Gd,GLQ,547.0,Gd,1072,0,1072,2,1,TA,5,0,0,Basment,2005.0,Fin,2.0,525.0,0,44,140000,1,1.0,2
145,20,RL,69.05520046484602,12160,IR1,Inside,NAmes,1Story,5,1959,Hip,Plywood,Plywood,BrkFace,180.0,TA,CBlock,TA,No,Rec,1000.0,Fa,1188,0,1188,3,1,TA,6,0,0,Attchd,1959.0,RFn,2.0,531.0,0,0,142000,51,1.0,1
1942,20,RL,69.05520046484602,15783,Reg,Inside,OldTown,1Story,5,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,Rec,292.0,TA,924,0,924,2,1,TA,6,0,0,Detchd,1952.0,Unf,1.0,420.0,0,324,112500,55,0.0,1
1956,60,RL,70.0,11606,IR1,Inside,NAmes,2Story,5,1969,Gable,Plywood,Plywood,BrkFace,192.0,TA,PConc,Gd,Av,Rec,650.0,TA,1040,1040,2080,5,1,Fa,9,2,TA,Attchd,1969.0,Unf,2.0,504.0,335,0,135000,38,1.0,3
1044,160,RM,21.0,1680,Reg,Inside,BrDale,2Story,6,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,CBlock,TA,No,ALQ,387.0,TA,483,504,987,2,1,TA,4,0,0,Detchd,1971.0,Unf,1.0,264.0,0,0,85400,37,0.0,2
2752,20,RL,64.0,7488,IR1,Inside,CollgCr,1Story,7,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,393.0,Ex,1208,0,1208,2,1,Gd,6,0,0,Attchd,2005.0,RFn,2.0,632.0,105,58,183600,1,0.0,2
1177,160,FV,24.0,2645,Reg,Inside,Somerst,2Story,8,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,No,GLQ,813.0,Ex,962,645,1607,3,1,Gd,7,0,0,Detchd,2000.0,Unf,2.0,480.0,169,0,200000,9,1.0,3
1480,20,RL,74.0,9627,Reg,Inside,CollgCr,1Story,7,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24.0,Ex,1361,0,1361,3,1,Gd,6,0,0,Attchd,2007.0,RFn,2.0,610.0,0,50,193000,1,0.0,2
324,20,RL,93.0,10114,Reg,Inside,Mitchel,1Story,5,2005,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Ex,Av,Unf,0.0,Ex,1430,0,1430,3,1,Gd,7,0,0,Attchd,2004.0,RFn,2.0,624.0,0,0,173500,6,0.0,2
1311,70,RM,34.0,4571,Reg,Inside,OldTown,2Story,5,1950,Gable,AsbShng,AsbShng,None,0.0,TA,BrkTil,TA,No,Unf,0.0,Fa,624,720,1344,4,1,TA,7,0,0,Detchd,1916.0,Unf,3.0,513.0,0,0,98000,92,0.0,1
770,20,RL,80.0,8816,Reg,Corner,Sawyer,1Story,5,1963,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,Rec,651.0,TA,1121,0,1121,3,1,TA,5,0,0,Detchd,1963.0,Unf,2.0,480.0,0,80,139000,46,1.0,1
